Time slot,DQNAgent,DoubleDQN,DuelingDQN
326,461.8985261,382.931635,407.8013137
327,449.9284011,372.6888142,406.7681574
328,388.1141508,324.2874148,397.6807917
329,448.6673555,374.4009865,397.6323806
330,412.8118636,344.8449947,381.7890729
331,410.9934065,340.8068328,392.6421714
332,394.2629304,330.9399962,353.0289203
333,373.962923,337.3044044,415.8767906
334,453.1071834,364.7834551,397.589476
335,415.4951214,340.6876892,402.6794378
336,383.3461492,328.5607707,408.4049346
337,363.0645889,330.8416561,364.0085289
338,448.7933398,361.4912642,389.0326869
339,434.9264662,348.5599349,423.1511994
340,339.5778971,307.7351564,330.6985022
341,385.5398684,304.5579795,398.0358548
342,427.4062614,347.0003211,383.6558649
343,409.4856144,328.4649318,430.6596106
344,452.8893177,360.4943733,387.0510046
345,375.2603602,339.8831451,361.7734375
346,379.1760342,341.029786,407.7360615
347,435.5101626,352.0785504,410.2729118
348,447.7649424,362.546658,429.8528295
349,402.2590393,300.1444602,388.2254533
350,421.3709311,337.6970528,415.0152352
351,396.4387206,326.3366796,388.3335492
352,467.1013147,373.4514836,402.1859713
353,392.0137034,321.3109722,382.5219617
354,386.9982083,320.4304962,359.9708127
355,473.5215755,378.6881802,409.6955541
356,451.5720941,364.2010012,395.3830171
357,380.127827,313.4574217,326.6140778
358,456.6188594,365.9959728,396.1469053
359,448.4539371,363.7472182,390.6890049
360,372.4498639,329.9205285,381.2665246
361,344.7117838,302.9437548,313.8060149
362,441.0258283,358.7946994,389.9640067
363,339.4444037,293.354965,321.0722316
364,408.7733776,332.3048044,369.4590051
365,431.0702267,344.2860907,388.423676
366,407.8633414,331.2217055,383.2687619
367,381.158662,333.5394816,359.0304612
368,432.2633316,347.4409825,378.0529894
369,455.204753,366.9075522,388.74892
370,436.407223,356.8079262,374.3992406
371,437.001982,352.5045107,380.9004027
372,417.6923839,339.9620265,377.3105637
373,470.5201638,379.1694774,406.7722117
374,444.0089346,360.2827897,383.4106859
375,346.4607003,296.4045742,317.7747234
376,440.4498815,354.0269492,377.7670474
377,459.3713052,364.3425449,404.3907138
378,383.1517988,309.0822649,354.2720941
379,366.3905426,298.5791434,376.9515874
